time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2022-03-29 06:45:00,2022-03-29 15:15:00,SELL,FVG-POI,1924.88,1931.23,1895.01,1895.01,0.16,476.8,4.692,TP,0.06,10476.8
2022-03-30 10:00:00,2022-03-30 15:15:00,SELL,FVG-POI,1922.6,1931.49,1890.02,1931.49,0.12,-107.53,-1.008,SL,1.08,10369.27
2022-04-01 12:00:00,2022-04-01 17:30:00,BUY,OB-CHoCH,1935.63,1918.84,1989.99,1918.84,0.06,-101.15,-1.004,SL,1.01,10268.12
2022-04-04 03:00:00,2022-04-04 05:30:00,BUY,OB-CHoCH,1926.07,1919.41,1949.76,1919.41,0.15,-100.97,-1.011,SL,1.16,10167.15
2022-04-19 06:45:00,2022-04-19 07:45:00,BUY,FVG-POI,1979.04,1974.23,1994.46,1974.23,0.21,-102.43,-1.015,SL,1.14,10064.71
2022-04-19 10:00:00,2022-04-19 16:00:00,BUY,OB-BOS,1977.18,1959.46,2059.24,1959.46,0.06,-106.76,-1.004,SL,1.07,9957.95
2022-04-21 03:00:00,2022-04-25 08:45:00,SELL,FVG-POI,1953.88,1965.5,1915.15,1915.15,0.09,347.94,3.327,TP,0.25,10305.89
2022-05-05 14:00:00,2022-05-05 17:00:00,BUY,FVG-POI,1900.09,1888.19,1946.47,1888.19,0.09,-107.75,-1.006,SL,1.12,10198.14
2022-05-05 22:30:00,2022-05-06 04:15:00,BUY,FVG-POI,1881.08,1869.48,1919.83,1869.48,0.09,-105.06,-1.006,SL,1.15,10093.09
2022-05-06 11:15:00,2022-05-09 09:45:00,BUY,FVG-POI,1877.88,1869.66,1909.77,1869.66,0.12,-99.44,-1.009,SL,1.02,9993.65
2022-05-12 01:00:00,2022-05-12 03:30:00,SELL,FVG-POI,1850.83,1857.11,1831.97,1857.11,0.16,-101.54,-1.011,SL,1.1,9892.11
2022-05-18 03:00:00,2022-05-18 06:15:00,BUY,FVG-POI,1816.35,1809.75,1836.05,1809.75,0.15,-99.98,-1.011,SL,1.31,9792.14
2022-05-18 18:00:00,2022-05-25 23:00:00,BUY,OB-CHoCH,1816.35,1784.97,1909.77,1854.1,0.03,113.04,1.201,time_stop,0.17,9905.18
2022-05-26 03:00:00,2022-05-26 14:15:00,SELL,FVG-POI,1852.09,1855.77,1842.05,1842.05,0.27,269.19,2.708,TP,0.57,10174.37
2022-05-27 03:30:00,2022-05-27 04:45:00,SELL,FVG-POI,1849.03,1853.68,1832.38,1853.68,0.22,-103.85,-1.015,SL,1.6,10070.52
2022-05-30 10:45:00,2022-06-01 07:45:00,SELL,FVG-POI,1858.41,1865.77,1832.38,1832.38,0.14,363.44,3.527,TP,0.37,10433.96
2022-06-03 22:30:00,2022-06-06 04:30:00,BUY,FVG-POI,1851.45,1846.49,1865.2,1846.49,0.21,-105.53,-1.014,SL,2.34,10328.43
2022-06-07 15:15:00,2022-06-07 16:45:00,SELL,FVG-POI,1845.24,1851.75,1810.96,1851.75,0.16,-105.29,-1.011,SL,1.28,10223.14
2022-06-08 03:00:00,2022-06-08 18:00:00,SELL,FVG-POI,1850.11,1857.36,1828.5,1857.36,0.14,-102.44,-1.01,SL,1.23,10120.7
2022-06-08 23:00:00,2022-06-10 15:30:00,SELL,OB-CHoCH,1851.63,1859.48,1828.5,1828.5,0.13,299.78,2.938,TP,0.47,10420.48
